epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1945.57,1.50881,1.54511,0.01264,0.64875,0.48639,0.53182,0.28896,1.58914,1.66838,0.01701,0.0011882,0.0011882,0.0011882
43,1990.84,1.50494,1.57904,0.0126,0.64102,0.47279,0.51752,0.28077,1.60765,1.70854,0.01741,0.0011684,0.0011684,0.0011684
44,2035.59,1.4803,1.57801,0.01289,0.59497,0.51131,0.52184,0.29052,1.57819,1.67882,0.01749,0.0011486,0.0011486,0.0011486
45,2080.53,1.49622,1.56428,0.01222,0.62034,0.4932,0.52603,0.29259,1.56779,1.70654,0.01727,0.0011288,0.0011288,0.0011288
46,2125.75,1.46485,1.57261,0.012,0.65859,0.52948,0.56433,0.30499,1.54707,1.62754,0.01647,0.001109,0.001109,0.001109
47,2170.8,1.42575,1.48347,0.01161,0.63568,0.51634,0.54266,0.29679,1.62225,1.58332,0.01839,0.0010892,0.0010892,0.0010892
48,2216.98,1.44221,1.47737,0.01172,0.64128,0.51247,0.55091,0.29847,1.59135,1.60601,0.01784,0.0010694,0.0010694,0.0010694
49,2262.2,1.45911,1.55818,0.01304,0.60531,0.52494,0.53095,0.29232,1.57512,1.62607,0.01782,0.0010496,0.0010496,0.0010496
50,2306.93,1.46474,1.49593,0.01146,0.64059,0.54649,0.57266,0.31851,1.52645,1.56569,0.01619,0.0010298,0.0010298,0.0010298
51,2352.36,1.43652,1.47315,0.01229,0.64374,0.52608,0.55917,0.30705,1.58288,1.58791,0.01724,0.00101,0.00101,0.00101
52,2397.37,1.46899,1.48376,0.01196,0.61236,0.52268,0.55694,0.29343,1.61915,1.56037,0.01753,0.0009902,0.0009902,0.0009902
53,2442.3,1.45212,1.46761,0.01132,0.63314,0.5381,0.54503,0.30547,1.59474,1.59429,0.01708,0.0009704,0.0009704,0.0009704
54,2487.31,1.39388,1.45177,0.01103,0.70149,0.51155,0.58194,0.33174,1.52318,1.49819,0.01608,0.0009506,0.0009506,0.0009506
55,2532.55,1.42587,1.4112,0.01115,0.63205,0.53628,0.56788,0.3156,1.57278,1.52952,0.01665,0.0009308,0.0009308,0.0009308
56,2578.11,1.41674,1.36766,0.01145,0.63983,0.51247,0.54381,0.30142,1.589,1.57853,0.01707,0.000911,0.000911,0.000911
57,2624.07,1.39875,1.39878,0.01136,0.62674,0.52268,0.55289,0.30002,1.57064,1.60737,0.01742,0.0008912,0.0008912,0.0008912
58,2668.9,1.4268,1.4156,0.01148,0.62597,0.55102,0.55585,0.30834,1.58036,1.56493,0.01678,0.0008714,0.0008714,0.0008714
59,2714.09,1.37804,1.35734,0.01109,0.64298,0.53498,0.56823,0.3177,1.57418,1.53199,0.01658,0.0008516,0.0008516,0.0008516
60,2758.91,1.39673,1.38332,0.01107,0.62674,0.54535,0.5614,0.32102,1.55455,1.52346,0.01719,0.0008318,0.0008318,0.0008318
61,2803.78,1.35894,1.40919,0.01089,0.66083,0.50567,0.553,0.31297,1.54959,1.54056,0.0168,0.000812,0.000812,0.000812
62,2848.87,1.39229,1.38088,0.01122,0.66683,0.52381,0.56246,0.32267,1.57704,1.50801,0.01718,0.0007922,0.0007922,0.0007922
63,2894.33,1.37853,1.34937,0.01095,0.70002,0.53968,0.57617,0.33079,1.54801,1.50891,0.01662,0.0007724,0.0007724,0.0007724
64,2939.39,1.38133,1.34634,0.01041,0.66893,0.53628,0.57599,0.32934,1.52903,1.49101,0.01681,0.0007526,0.0007526,0.0007526
65,2984.78,1.39582,1.35397,0.01048,0.59853,0.58654,0.57535,0.33061,1.54098,1.53249,0.01683,0.0007328,0.0007328,0.0007328
66,3029.53,1.34584,1.34302,0.0111,0.65443,0.55215,0.57471,0.33096,1.5338,1.4989,0.01674,0.000713,0.000713,0.000713
67,3075.14,1.36582,1.35156,0.01111,0.63698,0.58503,0.57744,0.33255,1.49581,1.5109,0.01582,0.0006932,0.0006932,0.0006932
68,3121.87,1.35573,1.32025,0.01046,0.59429,0.57256,0.56704,0.32111,1.50019,1.5121,0.0156,0.0006734,0.0006734,0.0006734
69,3166.9,1.35814,1.35204,0.01142,0.67201,0.55669,0.58391,0.33376,1.50805,1.46973,0.01622,0.0006536,0.0006536,0.0006536
70,3211.99,1.36594,1.34414,0.01104,0.66748,0.55442,0.59371,0.33819,1.53903,1.42358,0.01683,0.0006338,0.0006338,0.0006338
71,3256.95,1.36236,1.36158,0.01129,0.65131,0.56332,0.59541,0.33885,1.52879,1.44215,0.01624,0.000614,0.000614,0.000614
72,3302.28,1.33238,1.25909,0.01049,0.65378,0.56307,0.5928,0.33768,1.52774,1.45946,0.01653,0.0005942,0.0005942,0.0005942
73,3347.3,1.3638,1.32939,0.01076,0.68702,0.55003,0.59188,0.34757,1.53205,1.42934,0.0166,0.0005744,0.0005744,0.0005744
74,3392.67,1.32152,1.28372,0.01012,0.66901,0.57596,0.59373,0.34965,1.50531,1.4514,0.01649,0.0005546,0.0005546,0.0005546
75,3438.7,1.32643,1.26302,0.01061,0.6564,0.58163,0.60414,0.34829,1.51128,1.4378,0.01624,0.0005348,0.0005348,0.0005348
76,3483.49,1.33827,1.2772,0.01042,0.65315,0.58713,0.59995,0.34673,1.49695,1.48598,0.01605,0.000515,0.000515,0.000515
77,3528.43,1.32861,1.26184,0.01035,0.65612,0.5907,0.6044,0.35487,1.48836,1.43569,0.01566,0.0004952,0.0004952,0.0004952
78,3573.66,1.28453,1.25399,0.01004,0.69301,0.54772,0.60121,0.35661,1.4819,1.42367,0.01598,0.0004754,0.0004754,0.0004754
79,3619.24,1.32065,1.24037,0.00975,0.68386,0.56803,0.59533,0.35227,1.49107,1.44063,0.01597,0.0004556,0.0004556,0.0004556
80,3665.03,1.33424,1.28276,0.01072,0.66277,0.5839,0.60198,0.35941,1.4618,1.43912,0.01554,0.0004358,0.0004358,0.0004358
81,3710.6,1.29204,1.22427,0.00978,0.63838,0.58163,0.59439,0.34575,1.47956,1.4617,0.01546,0.000416,0.000416,0.000416
82,3755.78,1.29141,1.20118,0.00975,0.61765,0.58503,0.59135,0.34898,1.47213,1.45254,0.01571,0.0003962,0.0003962,0.0003962
83,3802.58,1.28522,1.2403,0.00999,0.68759,0.5465,0.59655,0.34593,1.48169,1.44911,0.01555,0.0003764,0.0003764,0.0003764
84,3848.12,1.28965,1.19759,0.00975,0.65495,0.5771,0.59149,0.34449,1.51159,1.42708,0.01595,0.0003566,0.0003566,0.0003566
85,3893.19,1.29981,1.23171,0.0098,0.68169,0.57143,0.60479,0.35812,1.48472,1.40921,0.01578,0.0003368,0.0003368,0.0003368
86,3938.6,1.29581,1.22831,0.01009,0.65611,0.58503,0.59857,0.35362,1.49137,1.42192,0.01577,0.000317,0.000317,0.000317
87,3983.57,1.27828,1.25836,0.00982,0.67392,0.57877,0.6015,0.35608,1.46278,1.40515,0.01518,0.0002972,0.0002972,0.0002972
88,4028.94,1.26136,1.19601,0.00969,0.67635,0.5805,0.60388,0.35797,1.46615,1.42295,0.01527,0.0002774,0.0002774,0.0002774
89,4074.78,1.29306,1.20576,0.00998,0.66734,0.58453,0.60305,0.35395,1.48211,1.42819,0.01548,0.0002576,0.0002576,0.0002576
90,4119.93,1.27815,1.1903,0.00962,0.66213,0.58215,0.5932,0.35331,1.48401,1.43309,0.01557,0.0002378,0.0002378,0.0002378
91,4181.94,1.26663,1.13294,0.0119,0.63931,0.5907,0.5954,0.35142,1.48666,1.44519,0.0155,0.000218,0.000218,0.000218
92,4227.28,1.24174,1.1264,0.01138,0.65691,0.57256,0.59849,0.35237,1.48476,1.44247,0.01556,0.0001982,0.0001982,0.0001982
93,4272.44,1.23302,1.09396,0.01111,0.64661,0.59954,0.59743,0.35515,1.4563,1.44169,0.01493,0.0001784,0.0001784,0.0001784
94,4318.13,1.19206,1.05992,0.01115,0.65078,0.59864,0.59072,0.35097,1.45531,1.45729,0.01497,0.0001586,0.0001586,0.0001586
95,4362.98,1.21188,1.05021,0.011,0.64486,0.59909,0.5951,0.35563,1.46937,1.42566,0.01534,0.0001388,0.0001388,0.0001388
96,4407.95,1.22978,1.03383,0.01116,0.66227,0.5907,0.60016,0.35706,1.4681,1.4172,0.01524,0.000119,0.000119,0.000119
97,4452.61,1.21052,1.03597,0.01163,0.65933,0.59977,0.60194,0.35846,1.45562,1.4145,0.01511,9.92e-05,9.92e-05,9.92e-05
98,4498.84,1.20273,1.01832,0.01173,0.66239,0.57614,0.60052,0.35916,1.44633,1.41851,0.01496,7.94e-05,7.94e-05,7.94e-05
99,4543.97,1.20113,1.0632,0.0117,0.66693,0.5948,0.60082,0.35846,1.4606,1.41175,0.01516,5.96e-05,5.96e-05,5.96e-05
100,4588.88,1.20151,1.05206,0.01139,0.65729,0.60233,0.59829,0.35811,1.46486,1.41387,0.0151,3.98e-05,3.98e-05,3.98e-05
